Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,105.73,105.74,104.16,104.46,1321000,103.67
2013-12-30,105.10,105.97,104.95,105.93,1006400,105.13
2013-12-27,105.22,105.80,105.00,105.10,669300,104.30
2013-12-26,104.80,105.13,104.41,104.99,643000,104.19
2013-12-24,104.70,105.18,104.45,104.79,386800,104.00
2013-12-23,105.29,105.39,104.43,104.54,1078500,103.75
2013-12-20,104.67,105.61,104.17,105.18,2019700,104.38
2013-12-19,104.33,105.08,104.04,104.38,1552600,103.59
2013-12-18,103.25,105.18,102.71,105.14,1779300,104.34
2013-12-17,103.78,103.99,102.53,102.75,1769900,101.97
2013-12-16,104.39,104.89,103.85,104.03,1443300,103.24
2013-12-13,104.02,104.34,103.36,103.92,989300,103.13
2013-12-12,105.12,105.26,103.74,103.83,1550300,103.04
2013-12-11,105.16,106.17,104.97,105.38,1650300,104.58
2013-12-10,105.42,105.50,104.58,104.91,1620500,104.12
2013-12-09,105.85,106.23,105.38,105.83,1289800,105.03
2013-12-06,104.75,105.60,104.73,105.58,1850700,104.78
2013-12-05,104.03,104.30,103.42,103.90,2074900,103.11
2013-12-04,105.00,105.13,104.04,104.20,2694000,103.41
2013-12-03,106.59,106.74,105.51,106.48,3001300,104.87
2013-12-02,108.86,109.40,107.04,107.15,2323200,105.53
2013-11-29,108.25,109.54,108.14,109.16,1481500,107.51
2013-11-27,108.22,108.39,107.51,108.22,1210200,106.58
2013-11-26,108.44,108.89,108.13,108.13,1697100,106.49
2013-11-25,108.99,109.37,108.16,108.36,1031100,106.72
2013-11-22,107.74,109.29,107.74,109.00,6458800,107.35
2013-11-21,108.05,108.53,107.71,107.92,4700500,106.29
2013-11-20,107.84,108.87,107.57,107.82,1259800,106.19
2013-11-19,107.74,108.15,107.39,107.88,1971000,106.25
2013-11-18,109.00,109.44,107.59,108.00,2535900,106.37
2013-11-15,111.54,111.68,108.28,109.26,3320000,107.61
2013-11-14,109.10,109.91,108.85,109.71,1285200,108.05
2013-11-13,107.74,108.85,107.57,108.84,1172800,107.19
