Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,166.41,168.24,166.37,168.00,1427600,167.14
2013-12-30,166.10,166.71,165.33,166.05,920200,165.20
2013-12-27,166.65,167.00,165.30,166.05,674100,165.20
2013-12-26,164.37,166.61,164.35,166.42,1173100,165.57
2013-12-24,164.86,166.00,164.17,165.64,769200,164.80
2013-12-23,163.51,165.13,163.04,164.95,1290700,164.11
2013-12-20,164.23,164.88,163.25,163.60,3115900,162.77
2013-12-19,162.97,164.32,162.41,164.19,1875600,163.35
2013-12-18,161.60,163.63,160.04,163.56,2330500,162.73
2013-12-17,161.84,161.84,160.69,161.03,1490900,160.21
2013-12-16,161.37,162.63,161.28,161.70,1770300,160.88
2013-12-13,161.33,162.33,160.46,160.75,1291600,159.93
2013-12-12,160.50,161.83,160.17,160.97,1428300,160.15
2013-12-11,162.80,163.50,160.50,160.70,2120400,159.88
2013-12-10,163.69,164.81,162.38,162.76,1753300,161.93
2013-12-09,164.56,165.27,163.88,164.50,1776400,163.66
2013-12-06,163.90,165.14,163.08,164.34,1732400,163.50
2013-12-05,162.75,163.45,161.79,162.37,1843800,161.54
2013-12-04,162.07,162.86,160.02,161.39,1503600,160.57
2013-12-03,163.15,163.60,161.84,162.46,1853600,161.63
2013-12-02,162.12,164.48,162.12,163.53,2353300,162.70
2013-11-29,162.55,163.15,161.44,162.04,877600,161.21
2013-11-27,162.13,163.22,161.31,162.84,1469200,161.22
2013-11-26,162.11,162.47,161.15,161.63,1466600,160.03
2013-11-25,162.01,162.83,161.77,161.98,1288900,160.37
2013-11-22,161.27,162.09,160.54,162.02,1729600,160.41
2013-11-21,158.91,161.85,158.05,160.78,3396600,159.19
2013-11-20,158.72,159.44,157.77,158.57,1391700,157.00
2013-11-19,159.05,159.60,157.43,158.10,1724100,156.53
2013-11-18,159.59,159.91,158.78,159.30,1653800,157.72
2013-11-15,158.40,159.58,158.20,159.49,1593700,157.91
2013-11-14,158.07,158.61,157.30,158.30,2533900,156.73
2013-11-13,155.47,158.29,155.43,158.05,2085000,156.48
2013-11-12,155.82,157.23,155.77,156.66,1984300,155.11
